Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:702,Major:Parks & Recreation Management,Bachelors,Degree Type:Bachelors,Early Career Pay:49700,MidCareer Pay:71500
Rank:703,Major:Deaf Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:43300,MidCareer Pay:71300
Rank:703,Major:Music Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:49600,MidCareer Pay:71300
Rank:703,Major:Tourism Management,Bachelors,Degree Type:Bachelors,Early Career Pay:51400,MidCareer Pay:71300
Rank:706,Major:Teaching English as a Second Language (ESL),Bachelors,Degree Type:Bachelors,Early Career Pay:49900,MidCareer Pay:70900
Rank:707,Major:Organizational Administration,Bachelors,Degree Type:Bachelors,Early Career Pay:52600,MidCareer Pay:70700
Rank:708,Major:Wildlife Biology,Bachelors,Degree Type:Bachelors,Early Career Pay:50200,MidCareer Pay:70400
Rank:709,Major:Educational Studies (ED),Bachelors,Degree Type:Bachelors,Early Career Pay:46900,MidCareer Pay:70300
Rank:709,Major:Elementary Special Education,Bachelors,Degree Type:Bachelors,Early Career Pay:52500,MidCareer Pay:70300
Rank:711,Major:Horticulture,Bachelors,Degree Type:Bachelors,Early Career Pay:49900,MidCareer Pay:70100
Rank:712,Major:Gender Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:52700,MidCareer Pay:70000
Rank:712,Major:Landscape Design,Bachelors,Degree Type:Bachelors,Early Career Pay:57900,MidCareer Pay:70000
Rank:712,Major:Wildlife Management,Bachelors,Degree Type:Bachelors,Early Career Pay:45800,MidCareer Pay:70000
Rank:715,Major:Community Development,Bachelors,Degree Type:Bachelors,Early Career Pay:53000,MidCareer Pay:69600
Rank:715,Major:Emergency Medical Services (EMS),Bachelors,Degree Type:Bachelors,Early Career Pay:48100,MidCareer Pay:69600
Rank:717,Major:Biblical Studies & Practical Ministries,Bachelors,Degree Type:Bachelors,Early Career Pay:44300,MidCareer Pay:69200
Rank:717,Major:Community Health Education,Bachelors,Degree Type:Bachelors,Early Career Pay:50100,MidCareer Pay:69200
Rank:717,Major:Recording Arts,Bachelors,Degree Type:Bachelors,Early Career Pay:53400,MidCareer Pay:69200
Rank:720,Major:Health Promotion,Bachelors,Degree Type:Bachelors,Early Career Pay:49500,MidCareer Pay:69000
Rank:720,Major:Social Studies Teacher Education,Bachelors,Degree Type:Bachelors,Early Career Pay:50900,MidCareer Pay:69000
Rank:722,Major:Athletic Training,Bachelors,Degree Type:Bachelors,Early Career Pay:49100,MidCareer Pay:68900
Rank:722,Major:Pastoral Ministry,Bachelors,Degree Type:Bachelors,Early Career Pay:45800,MidCareer Pay:68900
Rank:724,Major:Communication Sciences & Disorders,Bachelors,Degree Type:Bachelors,Early Career Pay:52000,MidCareer Pay:68700
Rank:725,Major:Speech & Hearing,Bachelors,Degree Type:Bachelors,Early Career Pay:53200,MidCareer Pay:68600
Rank:726,Major:Sculpture,Bachelors,Degree Type:Bachelors,Early Career Pay:46000,MidCareer Pay:68200
Rank:727,Major:Church Ministries,Bachelors,Degree Type:Bachelors,Early Career Pay:43300,MidCareer Pay:67400
Rank:728,Major:Biblical Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:48400,MidCareer Pay:67300
Rank:729,Major:Horticulture & Agronomy,Bachelors,Degree Type:Bachelors,Early Career Pay:60700,MidCareer Pay:67200
Rank:730,Major:Bible Studies & Theology,Bachelors,Degree Type:Bachelors,Early Career Pay:46300,MidCareer Pay:67000
Rank:731,Major:Human Development & Family Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:47000,MidCareer Pay:66400
Rank:732,Major:Family Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:46300,MidCareer Pay:66100
Rank:732,Major:Legal Assistant Studies,Bachelors,Degree Type:Bachelors,Early Career Pay:43300,MidCareer Pay:66100
Rank:734,Major:Christian Ministry,Bachelors,Degree Type:Bachelors,Early Career Pay:44300,MidCareer Pay:65200
Rank:735,Major:Health and Human Services,Bachelors,Degree Type:Bachelors,Early Career Pay:50600,MidCareer Pay:65100
Rank:735,Major:Voice & Opera,Bachelors,Degree Type:Bachelors,Early Career Pay:39600,MidCareer Pay:65100
Rank:737,Major:Home Economics,Bachelors,Degree Type:Bachelors,Early Career Pay:49200,MidCareer Pay:65000
